KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000866001,T000866002,T000866003,T000866004,T000866005,T000866006,T000866007,T000866008,T000866009,T000866010,T000866011,T000866012,T000866013
,,,,,,,総数,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業
12350830,2,石狩市,花畔三条,0,,,262,6,30,54,33,28,6,13,23,14,19,26,10
12350840,2,石狩市,花畔四条,0,,,147,2,9,29,14,16,1,3,18,11,14,18,12
12350850,2,石狩市,志美,0,,,11,-,1,1,-,-,-,8,-,1,-,-,-
12350860,2,石狩市,新港中央,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235086001,3,石狩市,新港中央１丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235086002,3,石狩市,新港中央２丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235086003,3,石狩市,新港中央３丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235086004,3,石狩市,新港中央４丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
12350870,2,石狩市,新港東,1,,087002;087003,26,-,-,1,4,2,-,9,4,2,-,3,1
1235087001,3,石狩市,新港東１丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235087002,3,石狩市,新港東２丁目,2,870,,X,X,X,X,X,X,X,X,X,X,X,X,X
1235087003,3,石狩市,新港東３丁目,2,870,,X,X,X,X,X,X,X,X,X,X,X,X,X
1235087004,3,石狩市,新港東４丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
12350880,2,石狩市,新港西,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235088001,3,石狩市,新港西１丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235088002,3,石狩市,新港西２丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235088003,3,石狩市,新港西３丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
12350890,2,石狩市,新港南,0,,,5,-,-,2,-,-,-,-,2,-,1,-,-
1235089001,3,石狩市,新港南１丁目,0,,,5,-,-,2,-,-,-,-,2,-,1,-,-
1235089002,3,石狩市,新港南２丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235089003,3,石狩市,新港南３丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
