KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000865001,T000865002,T000865003,T000865004,T000865005,T000865006,T000865007,T000865008,T000865009,T000865010,T000865011,T000865012,T000865013,T000865014,T000865015,T000865016,T000865017,T000865018,T000865019,T000865020,T000865021,T000865022,T000865023,T000865024,T000865025
,,,,,,,総数,Ａ　農業、林業,　うち農業,Ｂ　漁業,Ｃ　鉱業、採石業、砂利採取業,Ｄ　建設業,Ｅ　製造業,Ｆ　電気・ガス・熱供給・水道業,Ｇ　情報通信業,Ｈ　運輸業、郵便業,Ｉ　卸売業、小売業,Ｊ　金融業、保険業,Ｋ　不動産業、物品賃貸業,Ｌ　学術研究、専門・技術サービス業,Ｍ　宿泊業、飲食サービス業,Ｎ　生活関連サービス業、娯楽業,Ｏ　教育、学習支援業,Ｐ　医療、福祉,Ｑ　複合サービス事業,Ｒ　サービス業（他に分類されないもの）,Ｓ　公務（他に分類されるものを除く）,Ｔ　分類不能の産業,雇用者（役員を含む）,自営業主（家庭内職者を含む）,家族従業者
1101160004,3,札幌市中央区,伏見４丁目,0,,,70,-,-,-,-,2,1,-,2,2,14,-,4,4,4,4,7,9,-,9,2,6,60,6,1
1101160005,3,札幌市中央区,伏見５丁目,0,,,33,-,-,-,-,1,-,-,2,1,1,1,1,2,1,2,2,7,-,4,-,8,29,1,-
11011700,2,札幌市中央区,円山西町,0,,,1320,9,8,1,1,78,45,6,56,36,221,33,51,103,79,40,116,222,11,98,30,84,1116,123,20
1101170001,3,札幌市中央区,円山西町１丁目,0,,,220,1,1,-,-,6,6,2,11,4,36,6,11,19,13,4,26,37,1,21,5,11,178,27,5
1101170002,3,札幌市中央区,円山西町２丁目,0,,,194,1,1,-,-,10,10,-,8,3,35,6,9,14,11,9,25,28,2,12,5,6,170,14,4
1101170003,3,札幌市中央区,円山西町３丁目,0,,,167,-,-,-,1,5,5,2,7,1,23,3,3,15,7,5,14,37,1,21,4,13,137,14,2
1101170004,3,札幌市中央区,円山西町４丁目,0,,,82,1,1,-,-,8,4,-,5,2,15,1,2,6,7,3,10,3,-,7,2,6,71,6,1
1101170005,3,札幌市中央区,円山西町５丁目,0,,,182,1,1,-,-,15,2,1,8,8,33,2,5,9,8,6,14,39,5,8,3,15,156,18,1
1101170006,3,札幌市中央区,円山西町６丁目,0,,,38,-,-,-,-,3,1,-,-,5,8,2,3,1,1,2,2,4,1,3,-,2,36,1,-
1101170007,3,札幌市中央区,円山西町７丁目,0,,,86,2,1,-,-,5,5,1,6,3,17,3,7,6,3,3,7,9,-,2,1,6,76,7,-
